STATE_NAME,SA4 Name,Crash Count
Australian Capital Territory,Australian Capital Territory,77
Australian Capital Territory,Unknown,23
Australian Capital Territory,Blank,408
New South Wales,Capital Region,251
New South Wales,Central Coast,118
New South Wales,Central West,229
New South Wales,Coffs Harbour - Grafton,127
New South Wales,Far West and Orana,159
New South Wales,Hunter Valley exc Newcastle,207
New South Wales,Illawarra,88
New South Wales,Mid North Coast,165
New South Wales,Murray,115
New South Wales,New England and North West,228
New South Wales,Newcastle and Lake Macquarie,120
New South Wales,Richmond - Tweed,166
New South Wales,Riverina,163
New South Wales,Southern Highlands and Shoalhaven,112
New South Wales,Sydney - Baulkham Hills and Hawkesbury,59
New South Wales,Sydney - Blacktown,63
New South Wales,Sydney - City and Inner South,75
New South Wales,Sydney - Eastern Suburbs,39
New South Wales,Sydney - Inner South West,117
New South Wales,Sydney - Inner West,39
New South Wales,Sydney - North Sydney and Hornsby,72
New South Wales,Sydney - Northern Beaches,33
New South Wales,Sydney - Outer South West,79
New South Wales,Sydney - Outer West and Blue Mountains,81
New South Wales,Sydney - Parramatta,103
New South Wales,Sydney - Ryde,45
New South Wales,Sydney - South West,117
New South Wales,Sydney - Sutherland,43
Victoria,Ballarat,123
Victoria,Bendigo,104
Victoria,Geelong,117
Victoria,Hume,231
Victoria,Latrobe - Gippsland,229
Victoria,Melbourne - Inner,101
Victoria,Melbourne - Inner East,49
Victoria,Melbourne - Inner South,66
Victoria,Melbourne - North East,113
Victoria,Melbourne - North West,108
Victoria,Melbourne - Outer East,135
Victoria,Melbourne - South East,235
Victoria,Melbourne - West,203
Victoria,Mornington Peninsula,98
Victoria,North West,160
Victoria,Shepparton,155
Victoria,Warrnambool and South West,130
Queensland,Brisbane - East,40
Queensland,Brisbane - North,39
Queensland,Brisbane - South,67
Queensland,Brisbane - West,21
Queensland,Brisbane Inner City,38
Queensland,Cairns,140
Queensland,Darling Downs - Maranoa,161
Queensland,Fitzroy,0
Queensland,Gold Coast,146
Queensland,Ipswich,141
Queensland,Logan - Beaudesert,123
Queensland,Mackay - Isaac - Whitsunday,134
Queensland,Moreton Bay - North,103
Queensland,Moreton Bay - South,39
Queensland,Queensland - Outback,103
Queensland,Sunshine Coast,128
Queensland,Toowoomba,40
Queensland,Townsville,123
Queensland,Wide Bay,285
South Australia,Adelaide - Central and Hills,115
South Australia,Adelaide - North,157
South Australia,Adelaide - South,90
South Australia,Adelaide - West,71
South Australia,Barossa - Yorke - Mid North,184
South Australia,South Australia - Outback,132
South Australia,South Australia - South East,271
Western Australia,Bunbury,182
Western Australia,Mandurah,39
Western Australia,Perth - Inner,40
Western Australia,Perth - North East,82
Western Australia,Perth - North West,104
Western Australia,Perth - South East,142
Western Australia,Perth - South West,97
Western Australia,Western Australia - Outback (North),99
Western Australia,Western Australia - Outback (South),143
Western Australia,Western Australia - Wheat Belt,300
Tasmania,Hobart,98
Tasmania,Launceston and North East,124
Tasmania,South East,47
Tasmania,West and North West,101
Northern Territory,Darwin,126
Northern Territory,Northern Territory - Outback,217
